Number_added,Name_orginial,Author,Reviews_count,User_rating,Price,Year,Genre,Title_upper,Series,Series_number,Author_upper,LastName_first_no_titlesDRJR,Audience,Adult_interest,Title_word_count,Author_count_all,Authors_last_three
6,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,"12,643",4.4,$11.00,2011,Fiction,A DANCE WITH DRAGONS,A Song of Ice and Fire,5,GEORGE R. R. MARTIN,"R., R. GEORGE",Adult,Adult,10,2,0
376,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,"23,308",4.7,$6.00,2013,Non Fiction,THE FOUR AGREEMENTS: A PRACTICAL GUIDE TO PERSONAL FREEDOM,(blank),,DON MIGUEL RUIZ,"RUIZ, MIGUEL DON",Adult,Adult,13,6,0
377,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,"23,308",4.7,$6.00,2015,Non Fiction,THE FOUR AGREEMENTS: A PRACTICAL GUIDE TO PERSONAL FREEDOM,(blank),,DON MIGUEL RUIZ,"RUIZ, MIGUEL DON",Adult,Adult,13,6,0
378,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,"23,308",4.7,$6.00,2016,Non Fiction,THE FOUR AGREEMENTS: A PRACTICAL GUIDE TO PERSONAL FREEDOM,(blank),,DON MIGUEL RUIZ,"RUIZ, MIGUEL DON",Adult,Adult,13,6,0
280,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,"8,580",4.5,$46.00,2017,Non Fiction,"PUBLICATION MANUAL OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION, 6TH EDITION",(blank),,AMERICAN PSYCHOLOGICAL ASSOCIATION,AMERICAN PSYCHOLOGICAL ASSOCIATION,Adult,Adult,9,10,10
281,"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,"8,580",4.5,$46.00,2018,Non Fiction,"PUBLICATION MANUAL OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION, 6TH EDITION",(blank),,AMERICAN PSYCHOLOGICAL ASSOCIATION,AMERICAN PSYCHOLOGICAL ASSOCIATION,Adult,Adult,9,10,10
128,Giraffes Can't Dance,Giles Andreae,"14,038",4.8,$4.00,2019,Fiction,GIRAFFES CAN'T DANCE,(blank),,GILES ANDREAE,"ANDREAE, GILES",CH,Not_adult,3,5,5
126,Giraffes Can't Dance,Giles Andreae,"14,038",4.8,$4.00,2017,Fiction,GIRAFFES CAN'T DANCE,(blank),,GILES ANDREAE,"ANDREAE, GILES",CH,Not_adult,3,5,5
100,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,"5,413",4.7,$9.00,2015,Non Fiction,ENCHANTED FOREST: AN INKY QUEST AND COLORING BOOK,"Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",,JOHANNA BASFORD,"BASFORD, JOHANNA",Adult,Adult,10,2,0
55,Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,"4,022",4.8,$4.00,2015,Non Fiction,CREATIVE HAVEN CREATIVE CATS COLORING BOOK,Adult Coloring,,MARJORIE SARNAT,"SARNAT, MARJORIE",Adult,Adult,8,2,0
